Index,Time,Income per Second,Selected Object,Cost,Thing
7,79999,5.1,,8000,MarisPipers
7,80237,5.3999999999999995,,212,SolarPanel
7,80538,9.0,,2600,SolarAmbience
7,80624,11.0,,277,Potato
7,80751,11.5,,244,SolarPanel
7,80849,12.0,,280,SolarPanel
7,80886,14.0,,319,Potato
7,81068,14.5,,322,SolarPanel
7,81141,15.0,,371,SolarPanel
7,81243,23.0,,1572,Probetato
7,81316,23.5,,427,SolarPanel
7,81645,50.33333333333333,,15000,MrSheen
7,82044,51.99999999999999,,491,SolarPanel
7,82124,94.0,,18118,Spudnik
7,82379,95.66666666666667,,565,SolarPanel
7,82455,103.66666666666667,,1808,Probetato
7,82460,145.66666666666669,,20836,Spudnik
7,82569,147.33333333333334,,650,SolarPanel
7,82615,189.33333333333334,,23961,Spudnik
7,82659,231.33333333333334,,27555,Spudnik
7,82697,233.0,,748,SolarPanel
7,82820,275.0,,31688,Spudnik
7,82995,317.0,,36441,Spudnik
7,83003,318.6666666666667,,860,SolarPanel
7,83084,320.6666666666667,,367,Potato
7,83088,362.6666666666667,,41907,Spudnik
7,83158,370.6666666666667,,2079,Probetato
7,83285,412.6666666666667,,48193,Spudnik
7,83298,454.6666666666667,,55422,Spudnik
7,83401,496.6666666666667,,63735,Spudnik
7,83489,504.6666666666667,,2391,Probetato
7,83597,546.6666666666667,,73295,Spudnik
7,83602,548.3333333333334,,990,SolarPanel
7,83673,590.3333333333334,,84289,Spudnik
7,83736,598.3333333333334,,2750,Probetato
7,83780,606.3333333333334,,3162,Probetato
7,83831,648.3333333333334,,96931,Spudnik
7,83846,650.0,,1139,SolarPanel
7,83933,658.0,,3636,Probetato
7,83975,666.0,,4182,Probetato
7,83991,708.0,,111471,Spudnik
7,84144,750.0,,128191,Spudnik
7,84301,751.6666666666666,,1310,SolarPanel
7,84321,793.6666666666666,,147419,Spudnik
7,84333,795.3333333333333,,1507,SolarPanel
7,84476,803.3333333333333,,4809,Probetato
7,84508,845.3333333333333,,169531,Spudnik
7,84572,853.3333333333333,,5530,Probetato
7,84652,854.9999999999999,,1734,SolarPanel
7,84676,862.9999999999999,,6359,Probetato
7,84714,864.6666666666665,,1995,SolarPanel
7,84730,906.6666666666665,,194960,Spudnik
7,84791,908.3333333333331,,2296,SolarPanel
7,84793,909.9999999999998,,2641,SolarPanel
7,84856,911.6666666666664,,3039,SolarPanel
7,84858,913.333333333333,,3496,SolarPanel
7,84867,921.333333333333,,7313,Probetato
7,84923,922.9999999999997,,4023,SolarPanel
7,84929,924.6666666666663,,4628,SolarPanel
7,84935,932.6666666666663,,8410,Probetato
7,84951,934.3333333333329,,5325,SolarPanel
7,84958,1366.333333333333,,180000,ProbetatoRoots
7,84964,1367.9999999999998,,6126,SolarPanel
7,84976,1369.6666666666665,,7049,SolarPanel
7,84984,1371.3333333333333,,8110,SolarPanel
7,84998,1373.0,,9330,SolarPanel
7,84999,1374.6666666666667,,10735,SolarPanel
7,85001,1376.3333333333335,,12351,SolarPanel
7,85014,1378.0000000000002,,14210,SolarPanel
7,85020,1379.666666666667,,16349,SolarPanel
7,85023,1381.3333333333337,,18810,SolarPanel
7,85041,1383.0000000000005,,21642,SolarPanel
7,85044,1415.0000000000005,,9671,Probetato
7,85058,1416.6666666666672,,24899,SolarPanel
7,85077,1448.6666666666672,,11122,Probetato
7,85083,1450.333333333334,,28647,SolarPanel
7,85107,1452.0000000000007,,32959,SolarPanel
7,85125,1453.6666666666674,,37921,SolarPanel
7,85152,1455.3333333333342,,43629,SolarPanel
7,85187,1457.000000000001,,50196,SolarPanel
7,85218,1458.6666666666677,,57752,SolarPanel
7,85256,1460.3333333333344,,66446,SolarPanel
7,85298,1492.3333333333344,,12790,Probetato
7,85308,1494.0000000000011,,76448,SolarPanel
7,85359,1495.6666666666679,,87955,SolarPanel
7,85418,1497.3333333333346,,101195,SolarPanel
7,85486,1499.0000000000014,,116428,SolarPanel
7,85506,1531.0000000000014,,14708,Probetato
7,85530,1563.0000000000014,,16914,Probetato
7,85580,1564.666666666668,,133954,SolarPanel
7,85666,1566.3333333333348,,154118,SolarPanel
7,85763,1568.0000000000016,,177317,SolarPanel
7,85876,1569.6666666666683,,204008,SolarPanel
7,86006,1571.333333333335,,234717,SolarPanel
7,86017,1603.333333333335,,19450,Probetato
7,86056,1605.333333333335,,422,Potato
7,86146,1647.333333333335,,224203,Spudnik
7,86230,1679.333333333335,,22368,Probetato
7,86289,1711.333333333335,,25722,Probetato
7,86301,1753.333333333335,,257832,Spudnik
7,86400,1785.333333333335,,29580,Probetato
7,86447,1787.0000000000018,,270049,SolarPanel
7,86598,1788.6666666666686,,310699,SolarPanel
7,86769,1830.6666666666686,,296505,Spudnik
7,86912,1832.3333333333353,,357468,SolarPanel
7,87107,1834.000000000002,,411277,SolarPanel
7,87255,1866.000000000002,,34016,Probetato
7,87271,1898.000000000002,,39118,Probetato
7,87338,1940.000000000002,,340980,Spudnik
7,87340,1972.000000000002,,44985,Probetato
7,87510,2202.000000000002,,319249,PotatoPlant
7,87639,2244.000000000002,,392125,Spudnik
7,87725,2276.000000000002,,51731,Probetato
7,87766,2308.000000000002,,59490,Probetato
7,87848,2309.6666666666683,,473186,SolarPanel
7,88053,2311.333333333335,,544415,SolarPanel
7,88245,2353.333333333335,,450942,Spudnik
7,88416,2385.333333333335,,68412,Probetato
7,88447,2427.333333333335,,518581,Spudnik
7,88524,2459.333333333335,,78672,Probetato
7,88624,2689.333333333335,,367135,PotatoPlant
7,88699,2721.333333333335,,90471,Probetato
7,88740,2753.333333333335,,104040,Probetato
7,88760,2755.333333333335,,485,Potato
7,88769,2787.333333333335,,119643,Probetato
7,88772,2819.333333333335,,137587,Probetato
7,88896,2851.333333333335,,158222,Probetato
7,88987,3081.333333333335,,422203,PotatoPlant
7,88989,3113.333333333335,,181952,Probetato
7,89047,3145.333333333335,,209240,Probetato
7,89121,3177.333333333335,,240621,Probetato
7,89227,3209.333333333335,,276709,Probetato
7,89285,3241.333333333335,,318209,Probetato
7,89371,3243.333333333335,,558,Potato
7,89375,3275.333333333335,,365933,Probetato
7,89529,3317.333333333335,,596366,Spudnik
7,89671,3319.333333333335,,641,Potato
7,89691,3321.0000000000014,,626365,SolarPanel
7,89879,3322.666666666668,,720650,SolarPanel
7,89989,3354.666666666668,,420815,Probetato
7,90135,3386.666666666668,,483927,Probetato
7,90291,3428.666666666668,,685818,Spudnik
7,90442,3460.666666666668,,556505,Probetato
7,90611,4636.666666666668,,600000,GoldenSpudnikFoil
7,90729,4668.666666666668,,639968,Probetato
7,90877,4700.666666666668,,735949,Probetato
7,91017,4702.333333333335,,829129,SolarPanel
7,91172,4932.333333333335,,485531,PotatoPlant
7,91277,5162.333333333335,,558359,PotatoPlant
7,91339,5164.333333333335,,737,Potato
7,91354,5248.333333333335,,788687,Spudnik
7,91503,5250.000000000002,,953937,SolarPanel
7,91665,5282.000000000002,,846324,Probetato
7,91820,5512.000000000002,,642110,PotatoPlant
7,91909,5544.000000000002,,973253,Probetato
7,92077,5545.666666666669,,1097531,SolarPanel
7,92221,5629.666666666669,,906987,Spudnik
7,92415,5631.333333333336,,1262741,SolarPanel
7,92596,5663.333333333336,,1119219,Probetato
7,92777,5747.333333333336,,1043030,Spudnik
7,92955,5779.333333333336,,1287076,Probetato
7,93080,6009.333333333336,,738423,PotatoPlant
7,93212,6239.333333333336,,849183,PotatoPlant
7,93382,6241.000000000003,,1452820,SolarPanel
7,93587,6325.000000000003,,1199480,Spudnik
7,93734,6555.000000000003,,976557,PotatoPlant
7,93882,6639.000000000003,,1379396,Spudnik
7,94062,6671.000000000003,,1480108,Probetato
7,94254,6901.000000000003,,1123036,PotatoPlant
7,94421,6902.66666666667,,1671511,SolarPanel
7,94660,6934.66666666667,,1702090,Probetato
7,94861,7018.66666666667,,1586299,Spudnik
7,95002,7248.66666666667,,1291486,PotatoPlant
7,95176,7478.66666666667,,1485202,PotatoPlant
7,95397,7480.333333333337,,1923122,SolarPanel
7,95624,7512.333333333337,,1957364,Probetato
7,95845,7742.333333333337,,1707975,PotatoPlant
7,96071,7744.000000000004,,2212607,SolarPanel
7,96282,7828.000000000004,,1824236,Spudnik
7,96546,7912.000000000004,,2097863,Spudnik
7,96749,8142.000000000004,,1964164,PotatoPlant
7,96973,8174.000000000004,,2250924,Probetato
7,97237,8175.666666666671,,2545668,SolarPanel
7,97503,8259.666666666672,,2412532,Spudnik
7,97742,8489.666666666672,,2258779,PotatoPlant
7,98025,8521.666666666672,,2588511,Probetato
7,98296,8523.333333333338,,2928864,SolarPanel
7,98603,8753.333333333338,,2597585,PotatoPlant
7,98659,8755.333333333338,,848,Potato
7,98896,8757.000000000004,,3369742,SolarPanel
7,99196,8841.000000000004,,2774401,Spudnik
7,99467,8873.000000000004,,2976728,Probetato
7,99810,8957.000000000004,,3190547,Spudnik
7,100113,8989.000000000004,,3423168,Probetato
7,100485,8990.66666666667,,3876985,SolarPanel
7,100874,9074.66666666667,,3669114,Spudnik
7,101228,9106.66666666667,,3936565,Probetato
7,101643,9108.333333333336,,4460582,SolarPanel
7,102088,9192.333333333336,,4219464,Spudnik
7,102329,9422.333333333336,,2987210,PotatoPlant
7,102778,9454.333333333336,,4526959,Probetato
7,103124,9684.333333333336,,3435277,PotatoPlant
7,103525,9768.333333333336,,4852363,Spudnik
7,103957,9770.000000000002,,5132028,SolarPanel
7,104416,9772.000000000002,,975,Potato
7,104423,9804.000000000002,,5205899,Probetato
7,104928,9888.000000000002,,5580194,Spudnik
7,105435,9889.666666666668,,5904546,SolarPanel
7,105972,9921.666666666668,,5986664,Probetato
7,106534,10005.666666666668,,6417196,Spudnik
7,106903,10235.666666666668,,3950552,PotatoPlant
7,107445,10237.333333333334,,6793349,SolarPanel
7,108079,10321.333333333334,,7379745,Spudnik
7,108530,10551.333333333334,,4543116,PotatoPlant
7,109030,10583.333333333334,,6884526,Probetato
7,109283,10585.333333333334,,1121,Potato
7,109506,10815.333333333334,,5224561,PotatoPlant
7,109951,11045.333333333334,,6008221,PotatoPlant
7,110495,11275.333333333334,,6909425,PotatoPlant
7,111084,11277.0,,7815943,SolarPanel
7,111706,11309.0,,7917046,Probetato
7,112350,11539.0,,7945805,PotatoPlant
7,112971,11623.0,,8486671,Spudnik
7,113618,11624.666666666666,,8992467,SolarPanel
7,114341,11656.666666666666,,9104421,Probetato
7,115058,11886.666666666666,,9137638,PotatoPlant
7,115703,11970.666666666666,,9759631,Spudnik
7,116448,11972.333333333332,,10346091,SolarPanel
7,117209,12004.333333333332,,10469875,Probetato
7,118065,12088.333333333332,,11223529,Spudnik
7,118793,12318.333333333332,,10508240,PotatoPlant
7,119618,12319.999999999998,,11903475,SolarPanel
7,120500,12549.999999999998,,12084425,PotatoPlant
7,121323,12581.999999999998,,12040116,Probetato
7,122252,12583.666666666664,,13695290,SolarPanel
7,123233,12667.666666666664,,12907004,Spudnik
7,124132,12699.666666666664,,13845856,Probetato
7,125052,12929.666666666664,,13897031,PotatoPlant
7,126061,13013.666666666664,,14842993,Spudnik
7,127097,13015.33333333333,,15756824,SolarPanel
7,128177,13047.33333333333,,15922417,Probetato
7,129361,13277.33333333333,,15981519,PotatoPlant
7,130354,13361.33333333333,,17069370,Spudnik
7,131527,13362.999999999996,,18128678,SolarPanel
7,132735,13394.999999999996,,18310413,Probetato
7,133966,13624.999999999996,,18378670,PotatoPlant
7,135180,13708.999999999996,,19629694,Spudnik
7,136487,13710.666666666662,,20857565,SolarPanel
7,137830,13940.666666666662,,21135382,PotatoPlant
7,139202,13972.666666666662,,21056554,Probetato
7,140634,13974.333333333328,,23997227,SolarPanel
7,142045,14058.333333333328,,22574054,Spudnik
7,143548,14090.333333333328,,24214553,Probetato
7,145141,14320.333333333328,,24305588,PotatoPlant
7,146627,14404.333333333328,,25960053,Spudnik
7,148280,14405.999999999995,,27609499,SolarPanel
7,149990,14635.999999999995,,27951309,PotatoPlant
7,151624,14667.999999999995,,27846179,Probetato
7,153395,14751.999999999995,,29853937,Spudnik
7,155264,14753.66666666666,,31765521,SolarPanel
7,157177,14785.66666666666,,32022466,Probetato
7,159112,15015.66666666666,,32143871,PotatoPlant
7,161116,15099.66666666666,,34331884,Spudnik
7,163135,15101.333333333327,,36547143,SolarPanel
7,165301,15331.333333333327,,36965297,PotatoPlant
7,167367,15363.333333333327,,36825099,Probetato
7,168477,15365.333333333327,,1289,Potato
7,169597,15449.333333333327,,39481501,Spudnik
7,171953,15450.999999999993,,42048537,SolarPanel
7,174338,15482.999999999993,,42348018,Probetato
7,175900,15484.999999999993,,1482,Potato
7,176908,15568.999999999993,,45403537,Spudnik
7,179298,15798.999999999993,,42509914,PotatoPlant
7,181923,15800.666666666659,,48378049,SolarPanel
7,184631,15832.666666666659,,48699247,Probetato
7,186643,15834.666666666659,,1704,Potato
7,187328,16064.666666666659,,48886197,PotatoPlant
7,190185,16148.666666666659,,52213849,Spudnik
7,193111,16150.333333333325,,55660334,SolarPanel
7,196186,16182.333333333325,,56003014,Probetato
7,199378,16266.333333333325,,60045676,Spudnik
