Index,Time,Income per Second,Selected Object,Cost
2145,288,63.9,MrSheen,15000.0
2145,337,71.9,Probetato,1572.0
2145,345,72.9,Potato,277.0
2145,350,73.9,SolarPanel,212.0
2145,362,74.9,Potato,319.0
2145,374,82.9,Probetato,1808.0
2145,397,90.9,Probetato,2079.0
2145,408,91.9,Potato,366.0
2145,423,99.9,Probetato,2390.0
2145,424,100.9,Potato,421.0
2145,490,109.9,MarisPipers,8000.0
2145,570,111.9,Potato,484.0
2145,580,119.9,Probetato,2748.0
2145,693,161.9,Spudnik,18118.0
2145,749,163.9,Potato,557.0
2145,761,171.9,Probetato,3160.0
2145,837,213.9,Spudnik,20836.0
2145,896,255.9,Spudnik,23961.0
2145,898,257.9,Potato,640.0
2145,1037,259.9,Potato,735.0
2145,1130,301.9,Spudnik,27556.0
2145,1139,343.9,Spudnik,31689.0
2145,1159,351.9,Probetato,3634.0
2145,1162,359.9,Probetato,4179.0
2145,1174,367.9,Probetato,4805.0
2145,1204,368.9,SolarPanel,244.0
2145,1244,410.9,Spudnik,36442.0
2145,1331,418.9,Probetato,5525.0
2145,1343,460.9,Spudnik,41909.0
2145,1366,468.9,Probetato,6353.0
2145,1488,476.9,Probetato,7305.0
2145,1714,484.9,Probetato,8400.0
2145,1752,916.9,ProbetatoRoots,180000.0
2145,1755,918.9,Potato,845.0
2145,1756,920.9,Potato,972.0
2145,1759,921.9,SolarPanel,280.0
2145,1760,923.9,Potato,1117.0
2145,1765,955.9,Probetato,9660.0
2145,1767,957.9,Potato,1284.0
2145,1770,959.9,Potato,1476.0
2145,1774,960.9,SolarPanel,322.0
2145,1777,992.9,Probetato,11107.0
2145,1779,994.9,Potato,1697.0
2145,1781,996.9,Potato,1950.0
2145,1783,998.9,Potato,2242.0
2145,1785,999.9,SolarPanel,371.0
2145,1788,1001.9,Potato,2577.0
2145,1789,1003.9,Potato,2962.0
2145,1791,1004.9,SolarPanel,427.0
2145,1792,1006.9,Potato,3405.0
2145,1794,1008.9,Potato,3914.0
2145,1798,1010.9,Potato,4499.0
